sku_id,product_name,product_category
SKU_1,Wireless Earbuds,Electronics
SKU_2,Bluetooth Speaker,Electronics
SKU_3,Smart Watch,Wearables
SKU_4,USB Charger,Accessories
SKU_5,Laptop Stand,Office Accessories
SKU_6,Gaming Mouse,Computer Accessories
SKU_7,Mechanical Keyboard,Computer Accessories
SKU_8,Portable SSD,Storage Devices
SKU_9,Noise Cancelling Headphones,Electronics
SKU_10,Webcam Pro,Electronics
SKU_11,Laptop Backpack,Bags
SKU_12,Power Bank,Accessories
SKU_13,Monitor Stand,Office Accessories
SKU_14,Wireless Mouse,Computer Accessories
SKU_15,Desk Lamp,Office Accessories
SKU_16,Tablet Cover,Accessories
SKU_17,Fitness Band,Wearables
SKU_18,External Hard Drive,Storage Devices
SKU_19,USB Hub,Accessories
SKU_20,Portable Monitor,Electronics
SKU_21,Smartphone Holder,Accessories
SKU_22,Bluetooth Keyboard,Computer Accessories
SKU_23,Laptop Cooling Pad,Computer Accessories
SKU_24,Wireless Charger,Accessories
SKU_25,HDMI Cable,Accessories
SKU_26,Action Camera,Electronics
SKU_27,Tripod Stand,Accessories
SKU_28,Mini Projector,Electronics
SKU_29,Phone Gimbal,Electronics
SKU_30,Portable Printer,Electronics
SKU_31,Smart Home Plug,Smart Home
SKU_32,Security Camera,Smart Home
SKU_33,Smart Bulb,Smart Home
SKU_34,Router Device,Networking
SKU_35,WiFi Extender,Networking
SKU_36,Microphone Kit,Audio
SKU_37,Studio Headset,Audio
SKU_38,Speaker Dock,Audio
SKU_39,Graphics Tablet,Creative Devices
SKU_40,VR Headset,Electronics
SKU_41,Docking Station,Computer Accessories
SKU_42,Card Reader,Accessories
SKU_43,Memory Card,Storage Devices
SKU_44,Flash Drive,Storage Devices
SKU_45,Portable Scanner,Office Devices
SKU_46,Label Printer,Office Devices
SKU_47,Digital Pen,Creative Devices
SKU_48,E-Reader,Electronics
SKU_49,Smart Thermostat,Smart Home
SKU_50,Laptop Sleeve,Bags
